"Dedo1","Dedo2","Dedo3","Dedo4","Dedo5","Target",""
"317","357","295","14","-12","1",""
"290","344","276","13","-12","1",""
"300","357","281","13","-12","1",""
"303","364","281","13","-12","1",""
"308","357","290","13","-12","1",""
"298","357","276","13","-12","1",""
"298","350","255","11","-12","1",""
"293","386","285","12","-12","1",""
"295","398","283","13","-12","1",""
"303","447","337","14","-12","1",""
"319","406","322","14","-12","1",""
"317","406","319","14","-12","1",""
"322","394","325","14","-12","1",""
"311","406","360","12","-12","1",""
"311","433","303","13","-12","1",""
"298","406","308","13","-12","1",""
"303","410","295","13","-12","1",""
"295","415","290","13","-12","1",""
"300","398","288","13","-12","1",""
"325","402","269","13","-12","1",""
"303","398","283","13","-12","1",""
"295","390","311","16","-13","1",""
"306","347","288","14","-13","1",""
"314","390","298","13","-12","1",""
"331","394","269","12","-12","1",""
"308","406","300","14","-12","1",""
"298","415","274","13","-13","1",""
"298","367","295","14","-12","1",""
"281","357","303","14","-12","1",""
"293","386","285","13","-12","1",""
"288","386","281","13","-12","1",""
"375","447","271","13","-12","1",""
"293","390","274","13","-12","1",""
"276","447","251","12","-12","1",""
"298","428","278","12","-12","1",""
"311","419","290","12","-13","1",""
"290","457","285","13","-12","1",""
"293","496","319","14","-12","1",""
"293","502","334","14","-12","1",""
"290","473","319","14","-13","1",""
"293","357","288","11","-14","1",""
"281","350","274","12","-14","1",""
"274","334","269","12","-14","1",""
"288","344","267","10","-15","1",""
"295","344","269","12","-14","1",""
"306","390","322","13","-13","1",""
"322","378","314","13","-14","1",""
"331","382","325","13","-14","1",""
"303","378","334","12","-14","1",""
"293","394","314","12","-14","1",""
"331","390","300","12","-14","1",""
"334","375","300","10","-14","1",""
"311","402","300","11","-14","1",""
"300","386","303","11","-14","1",""
"314","390","314","11","-14","1",""
"325","386","319","11","-14","1",""
"311","334","293","12","-14","1",""
"360","375","298","12","-14","1",""
"303","410","314","13","-14","1",""
"314","402","303","11","-15","1",""
"303","386","290","11","-14","1",""
"298","357","283","11","-15","1",""
"293","402","295","12","-14","1",""
"295","398","295","12","-14","1",""
"269","328","281","11","-14","1",""
"306","322","274","11","-14","1",""
"300","322","278","11","-14","1",""
"314","331","274","11","-14","1",""
"306","322","271","11","-14","1",""
"306","311","269","11","-14","1",""
"308","317","271","10","-14","1",""
